Metric,conversation_id,CoT,PD,SR,MoRE
F1_Pos_Int,1,0.2733333333333333,0.2333333333333333,0.26888888888888884,0.24666666666666667
F1_Pos_Int,10,0.4526666666666667,0.4766666666666667,0.44800000000000006,0.46333333333333326
F1_Pos_Int,11,0.09518518518518518,0.16185185185185183,0.12,0.11962962962962961
F1_Pos_Int,12,0.5,0.5626666666666666,0.4293333333333333,0.5733333333333334
F1_Pos_Int,13,0.35,0.37916666666666665,0.3583333333333333,0.35
F1_Pos_Int,14,0.4963636363636364,0.46303030303030307,0.5587878787878788,0.5781818181818182
F1_Pos_Int,15,0.8455555555555556,0.7855555555555556,0.8322222222222221,0.8911111111111112
F1_Pos_Int,16,0.4685714285714285,0.5076190476190476,0.4314285714285714,0.4038095238095238
F1_Pos_Int,17,0.31703703703703706,0.36518518518518517,0.3488888888888889,0.39037037037037037
F1_Pos_Int,18,0.7266666666666666,0.6877777777777777,0.7055555555555555,0.591111111111111
F1_Pos_Int,19,0.084,0.09466666666666668,0.08,0.08
F1_Pos_Int,20,0.2746666666666666,0.25866666666666666,0.22266666666666665,0.22799999999999998
F1_Pos_Int,21,0.309047619047619,0.31952380952380954,0.32312925170068024,0.36095238095238097
F1_Pos_Int,22,0.4026666666666666,0.42666666666666664,0.4933333333333333,0.4733333333333333
F1_Pos_Int,23,0.14285714285714285,0.1638095238095238,0.15047619047619049,0.15619047619047616
F1_Pos_Int,24,0.46571428571428564,0.47523809523809524,0.5133333333333333,0.52
F1_Pos_Int,25,0.15238095238095237,0.14285714285714285,0.17142857142857143,0.14285714285714285
F1_Pos_Int,26,0.4076923076923077,0.4179487179487179,0.4230769230769231,0.38717948717948714
F1_Pos_Int,28,0.39555555555555555,0.3333333333333333,0.4496296296296296,0.4303703703703704
F1_Pos_Int,29,0.5444444444444444,0.5444444444444444,0.5555555555555555,0.5555555555555555
F1_Pos_Int,3,0.6933333333333334,0.65,0.6599999999999999,0.6533333333333333
F1_Pos_Int,31,0.31,0.3213333333333333,0.27466666666666667,0.31
F1_Pos_Int,32,0.43666666666666665,0.4533333333333333,0.571111111111111,0.4933333333333333
F1_Pos_Int,33,0.6780952380952382,0.680952380952381,0.7295238095238095,0.7019047619047619
F1_Pos_Int,34,0.20962962962962967,0.20296296296296296,0.20370370370370372,0.21925925925925926
F1_Pos_Int,35,0.6444444444444444,0.6555555555555556,0.6555555555555556,0.6555555555555556
F1_Pos_Int,36,0.5055555555555555,0.6055555555555555,0.5155555555555555,0.5622222222222222
F1_Pos_Int,37,0.6583333333333332,0.7083333333333333,0.7166666666666666,0.6333333333333333
F1_Pos_Int,39,0.4444444444444445,0.4688888888888889,0.4644444444444444,0.43833333333333335
F1_Pos_Int,4,0.155,0.35583333333333333,0.1933333333333333,0.25166666666666665
F1_Pos_Int,41,0.3787878787878788,0.5296969696969697,0.4127272727272727,0.46848484848484856
F1_Pos_Int,42,0.2,0.2533333333333333,0.22666666666666666,0.22666666666666666
F1_Pos_Int,44,0.08148148148148147,0.11851851851851851,0.08888888888888888,0.08888888888888888
F1_Pos_Int,46,0.0,0.0,0.0,0.0
F1_Pos_Int,48,0.3333333333333333,0.3818181818181818,0.3181818181818182,0.3315151515151515
F1_Pos_Int,49,0.5,0.625,0.5816666666666667,0.6333333333333333
F1_Pos_Int,5,0.34500000000000003,0.3433333333333333,0.3383333333333333,0.3516666666666667
F1_Pos_Int,55,0.3676190476190476,0.3838095238095238,0.3438095238095238,0.3814285714285714
F1_Pos_Int,57,0.1288888888888889,0.16666666666666666,0.1288888888888889,0.1511111111111111
F1_Pos_Int,6,0.24533333333333332,0.26266666666666666,0.18733333333333332,0.25666666666666665
F1_Pos_Int,67,0.635,0.6258333333333332,0.6341666666666667,0.6233333333333333
F1_Pos_Int,7,0.5344322344322345,0.5317948717948718,0.49963369963369964,0.533919413919414
F1_Pos_Int,77,0.088,0.092,0.09866666666666667,0.092
F1_Pos_Int,8,0.2571428571428571,0.3019047619047619,0.2523809523809524,0.24761904761904757
F1_Pos_Int,9,0.19692307692307692,0.24974358974358973,0.1964102564102564,0.24871794871794872
F1_Pos_Int,93,0.0,0.16,0.0,0.12000000000000002
F1_Pos_Int,94,0.6525000000000001,0.6733333333333333,0.655,0.6633333333333333
F1_Pos_Int,Average,0.36987978569893465,0.39579169963212507,0.37939114060542634,0.3889279239279239
F1_Pos_Int,Std,0.20677777454111804,0.1961543710172222,0.2123498826666437,0.20394583642386968
Acc_None_Int,1,0.4666666666666666,0.4666666666666666,0.5333333333333333,0.6
Acc_None_Int,10,0.35,0.3,0.325,0.275
Acc_None_Int,11,0.7970149253731343,0.835820895522388,0.8059701492537314,0.8149253731343282
Acc_None_Int,12,0.4461538461538462,0.36923076923076925,0.09230769230769231,0.4461538461538462
Acc_None_Int,13,0.48571428571428565,0.45714285714285713,0.5142857142857142,0.48571428571428565
Acc_None_Int,14,0.8400000000000001,1.0,0.96,0.9
Acc_None_Int,15,0.3333333333333333,0.39999999999999997,0.5333333333333333,0.3333333333333333
Acc_None_Int,16,0.676923076923077,0.7384615384615385,0.7076923076923076,0.6923076923076923
Acc_None_Int,17,0.4666666666666667,0.6222222222222222,0.6,0.5555555555555556
Acc_None_Int,18,0.5,0.5222222222222223,0.5222222222222223,0.5222222222222223
Acc_None_Int,19,0.6363636363636364,0.4545454545454546,0.5272727272727272,0.43636363636363634
Acc_None_Int,20,0.6764705882352942,0.6823529411764706,0.7176470588235294,0.6470588235294118
Acc_None_Int,21,0.8,0.8491803278688523,0.7245901639344263,0.8196721311475409
Acc_None_Int,22,0.42857142857142855,0.42857142857142855,0.3142857142857143,0.3714285714285714
Acc_None_Int,23,0.6799999999999999,0.76,0.6799999999999999,0.64
Acc_None_Int,24,0.6695652173913043,0.6608695652173913,0.6521739130434783,0.6434782608695653
Acc_None_Int,25,0.4588235294117647,0.47058823529411764,0.48235294117647054,0.5058823529411764
Acc_None_Int,26,0.588235294117647,0.6470588235294118,0.6470588235294118,0.6823529411764706
Acc_None_Int,28,0.3333333333333333,0.6666666666666666,0.26666666666666666,0.26666666666666666
Acc_None_Int,29,0.5,0.5,0.5,0.5
Acc_None_Int,3,0.2,0.2,0.24000000000000005,0.2
Acc_None_Int,31,0.38181818181818183,0.42727272727272725,0.4,0.4636363636363637
Acc_None_Int,32,0.16666666666666666,0.1,0.25,0.1
Acc_None_Int,33,0.7219512195121951,0.7219512195121951,0.7365853658536585,0.7268292682926829
Acc_None_Int,34,0.7538461538461538,0.7846153846153847,0.7615384615384615,0.7384615384615385
Acc_None_Int,35,0.6,0.64,0.5599999999999999,0.5599999999999999
Acc_None_Int,36,0.5241379310344827,0.8344827586206897,0.7310344827586206,0.6344827586206897
Acc_None_Int,37,0.3875,0.3375,0.5,0.5625
Acc_None_Int,39,0.55,0.5900000000000001,0.62,0.54
Acc_None_Int,4,0.6714285714285715,0.48571428571428565,0.7357142857142858,0.85
Acc_None_Int,41,0.5,0.54,0.45999999999999996,0.5
Acc_None_Int,42,0.2571428571428571,0.34285714285714286,0.3142857142857143,0.37142857142857144
Acc_None_Int,44,0.6476190476190476,0.8380952380952381,0.819047619047619,0.7428571428571429
Acc_None_Int,46,0.5166666666666667,0.4833333333333333,0.5666666666666667,0.55
Acc_None_Int,48,0.4153846153846154,0.6,0.5230769230769231,0.5076923076923077
Acc_None_Int,49,0.08,0.28,0.16,0.36
Acc_None_Int,5,0.65,0.625,0.55,0.7
Acc_None_Int,55,0.6285714285714287,0.5571428571428572,0.6,0.5857142857142856
Acc_None_Int,57,0.296969696969697,0.3757575757575758,0.27272727272727276,0.34545454545454546
Acc_None_Int,6,0.7428571428571429,0.6571428571428571,0.3857142857142857,0.7571428571428571
Acc_None_Int,67,0.25,0.3,0.2,0.2
Acc_None_Int,7,0.7294117647058823,0.7764705882352941,0.788235294117647,0.788235294117647
Acc_None_Int,77,0.35384615384615387,0.3230769230769231,0.2923076923076923,0.3384615384615385
Acc_None_Int,8,0.4769230769230769,0.6153846153846154,0.5230769230769231,0.5846153846153846
Acc_None_Int,9,0.7185185185185186,0.7407407407407407,0.7037037037037037,0.6962962962962963
Acc_None_Int,93,0.7422222222222221,0.7466666666666667,0.7733333333333333,0.76
Acc_None_Int,94,0.7777777777777778,0.7777777777777778,0.7333333333333333,0.7777777777777778
Acc_None_Int,Average,0.5292573515269521,0.5645230490698886,0.5384377472003598,0.5548872685768922
Acc_None_Int,Std,0.1866228564140334,0.1968559271380653,0.20152351252757109,0.1897336698047793
